Id,MS SubClass,MS Zoning,Lot Area,Lot Shape,Utilities,Land Slope,Neighborhood,Condition 2,Overall Qual,Overall Cond,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Val,Mo Sold,SalePrice,age_of_home,age_of_garage,age_of_remodel,Street_Pave,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Central Air_Y,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_No Garage,Bsmt Exposure_2.0,Bsmt Exposure_3.0,Bsmt Exposure_4.0,Bsmt Exposure_5.0
109,60,RL,13517,2,3,3,Sawyer,Norm,6,8,HdBoard,Plywood,BrkFace,289.0,4,3,3,3,6.0,533.0,1.0,0.0,192.0,725.0,GasA,5,5,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,0.0,3,2.0,475.0,3.0,3.0,3,0,44,0,0,0,0,0.0,0.0,0,3,130500,45,45.0,16,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
544,60,RL,11492,2,3,3,SawyerW,Norm,7,5,VinylSd,VinylSd,BrkFace,132.0,4,3,4,3,6.0,637.0,1.0,0.0,276.0,913.0,GasA,5,5,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,3.0,3,2.0,559.0,3.0,3.0,3,0,74,0,0,0,0,0.0,0.0,0,4,220000,25,24.0,24,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
153,20,RL,7922,3,3,3,NAmes,Norm,5,7,VinylSd,VinylSd,None,0.0,3,4,3,3,6.0,731.0,1.0,0.0,326.0,1057.0,GasA,3,5,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,0.0,1,1.0,246.0,3.0,3.0,3,0,52,0,0,0,0,0.0,0.0,0,1,109000,68,68.0,14,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
318,60,RL,9802,3,3,3,Timber,Norm,5,5,VinylSd,VinylSd,None,0.0,3,3,4,3,1.0,0.0,1.0,0.0,384.0,384.0,GasA,4,5,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,0.0,5,2.0,400.0,3.0,3.0,3,100,0,0,0,0,0,0.0,0.0,0,4,174000,15,14.0,14,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
255,50,RL,14235,2,3,3,SawyerW,Norm,6,8,Wd Sdng,Plywood,None,0.0,3,3,2,4,1.0,0.0,1.0,0.0,676.0,676.0,GasA,3,5,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,0.0,1,2.0,484.0,3.0,3.0,1,0,59,0,0,0,0,0.0,0.0,0,3,138500,121,64.0,28,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
138,20,RL,16492,2,3,3,NAmes,Norm,6,6,BrkFace,Plywood,None,0.0,4,3,3,3,5.0,247.0,3.0,713.0,557.0,1517.0,GasA,5,5,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,4.0,5,2.0,578.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0,6,190000,55,55.0,19,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2827,180,RM,3675,3,3,3,Edwards,Norm,6,5,VinylSd,VinylSd,BrkFace,82.0,3,3,4,3,6.0,547.0,1.0,0.0,0.0,547.0,GasA,4,5,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,0.0,5,2.0,525.0,3.0,3.0,3,0,44,0,0,0,0,0.0,0.0,0,6,140000,16,16.0,15,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
145,20,RL,12160,2,3,3,NAmes,Norm,5,5,Plywood,Plywood,BrkFace,180.0,3,3,3,3,3.0,1000.0,1.0,0.0,188.0,1188.0,GasA,2,5,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,0.0,3,2.0,531.0,3.0,3.0,3,0,0,0,0,0,0,0.0,8.0,0,5,142000,62,62.0,62,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1942,20,RL,15783,3,3,3,OldTown,Norm,5,5,Wd Sdng,Wd Sdng,None,0.0,3,3,3,3,3.0,292.0,1.0,0.0,632.0,924.0,GasA,3,5,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,0.0,1,1.0,420.0,3.0,3.0,3,0,324,0,0,0,0,0.0,8.0,400,6,112500,69,69.0,69,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1956,60,RL,11606,2,3,1,NAmes,Norm,5,5,Plywood,Plywood,BrkFace,192.0,3,3,4,3,3.0,650.0,1.0,0.0,390.0,1040.0,GasA,3,5,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,3.0,1,2.0,504.0,3.0,3.0,3,335,0,0,0,0,0,0.0,0.0,0,9,135000,52,52.0,52,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
