"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"966",605135,"Bassitt, Chris","0",,"0.245","0.165","0.273","0.410","0.279","0.293","0.255","80","327","90.4","12.6","2155","89.7","89.67","115","625","341","0.0","6.35","112","150","119","153","300","328","301"
"960",640455,"Manaea, Sean","0",,"0.267","0.170","0.290","0.437","0.302","0.332","0.286","85","318","89.9","14.4","1861","88.9","89.85","152","681","279","1.0","7.14","109","150","120","150","300","327","299"
"950",645261,"Alcantara, Sandy","0",,"0.261","0.149","0.278","0.410","0.287","0.293","0.265","84","322","89.5","7.1","2267","94.1","93.44","123","675","275","-0.7","6.00","110","151","115","148","299","315","287"
"932",543135,"Eovaldi, Nathan","0",,"0.296","0.154","0.343","0.450","0.322","0.308","0.280","92","311","88.7","11.4","2114","91.8","92.07","111","648","284","0.3","6.62","111","156","118","149","288","322","299"
"926",628711,"Urías, Julio","0",,"0.265","0.208","0.293","0.473","0.313","0.328","0.278","83","313","88.7","17.1","2556","89.2","88.24","123","614","312","-1.0","5.59","110","156","114","151","300","316","288"
"925",592662,"Ray, Robbie","0",,"0.270","0.263","0.288","0.533","0.337","0.322","0.269","82","304","92.6","15.2","2233","92.8","93.03","150","662","263","0.2","6.42","106","154","122","147","296","318","288"
"918",554430,"Wheeler, Zack","0",,"0.246","0.102","0.320","0.348","0.255","0.249","0.232","77","313","87.0","8.0","2356","94.3","95.05","139","649","269","0.7","7.14","111","152","115","149","296","323","294"
"916",608337,"Giolito, Lucas","0",,"0.257","0.254","0.281","0.511","0.323","0.305","0.258","73","284","89.4","20.5","2001","87.8","88.41","171","661","255","0.6","6.75","111","151","113","149","300","319","295"
"908",621111,"Buehler, Walker","0",,"0.222","0.152","0.238","0.374","0.256","0.294","0.248","67","302","88.1","13.7","2631","92.0","92.26","108","611","297","0.3","6.40","113","158","118","152","298","319","295"
"903",605540,"Woodruff, Brandon","0",,"0.193","0.110","0.230","0.302","0.212","0.259","0.239","58","301","88.1","8.4","2362","92.9","92.56","125","603","300","-0.3","6.44","110","154","115","149","299","323","297"
"903",506433,"Darvish, Yu","0",,"0.247","0.220","0.281","0.467","0.296","0.278","0.234","74","300","88.4","18.3","2660","86.8","86.55","116","601","302","-0.3","6.23","115","155","131","146","297","320","311"
"901",518876,"Kelly, Merrill","0",,"0.288","0.197","0.293","0.484","0.327","0.345","0.306","92","320","90.4","11.3","2345","89.0","88.73","89","626","275","-0.3","6.29","112","153","117","151","302","328","301"
"881",543037,"Cole, Gerrit","0",,"0.235","0.202","0.265","0.437","0.286","0.293","0.238","65","277","91.8","15.9","2473","92.5","92.72","131","577","304","0.2","6.51","111","155","118","150","298","326","289"
"870",450203,"Morton, Charlie","0",,"0.249","0.121","0.291","0.370","0.264","0.287","0.258","72","289","89.1","6.9","2501","89.6","89.47","113","560","310","-0.1","6.28","109","151","126","144","302","319","294"
"863",605400,"Nola, Aaron","0",,"0.287","0.211","0.325","0.498","0.336","0.330","0.272","80","279","90.4","12.0","2124","86.9","87.59","114","570","293","0.7","6.80","110","151","114","149","297","325","294"
"861",601713,"Pivetta, Nick","0",,"0.264","0.245","0.289","0.509","0.325","0.307","0.255","72","273","90.4","16.4","2382","89.3","89.57","110","609","252","0.3","6.51","111","155","118","148","289","326","300"
"857",501985,"Minor, Mike","0",,"0.293","0.232","0.319","0.525","0.351","0.350","0.280","87","297","91.0","18.3","2520","87.0","85.75","116","583","274","-1.3","5.57","105","157","117","144","300","323","299"
"855",641816,"Mahle, Tyler","0",,"0.242","0.227","0.271","0.469","0.303","0.295","0.251","63","260","89.5","15.8","2391","91.1","91.32","134","568","287","0.2","6.60","112","154","116","148","296","318","292"
"850",545333,"Bauer, Trevor","0",,"0.230","0.264","0.232","0.494","0.306","0.318","0.250","62","269","91.2","19.1","2817","88.6","83.08","101","540","310","-5.5","6.43","113","159","116","150","298","318","291"
"848",593423,"Montas, Frankie","0",,"0.285","0.203","0.316","0.488","0.329","0.331","0.273","83","291","92.5","13.1","2327","94.1","93.66","115","601","247","-0.4","5.99","111","149","119","153","298","326","302"
"842",669373,"Skubal, Tarik","0",,"0.272","0.279","0.280","0.551","0.344","0.354","0.285","72","265","92.0","19.2","2074","90.0","89.58","146","590","252","-0.4","6.21","105","152","117","147","302","327","297"
"837",621244,"Berríos, José","0",,"0.273","0.192","0.306","0.465","0.315","0.347","0.287","74","271","90.9","12.8","2189","90.3","89.90","87","520","317","-0.4","6.40","109","157","117","149","300","330","296"
"837",592332,"Gausman, Kevin","0",,"0.181","0.119","0.201","0.300","0.206","0.272","0.229","49","270","88.8","13.9","2079","90.5","90.62","137","574","263","0.1","6.49","113","157","115","150","298","322","294"
"836",425794,"Wainwright, Adam","0",,"0.268","0.202","0.276","0.470","0.312","0.333","0.291","81","302","90.8","11.4","2456","82.5","82.03","55","489","347","-0.5","6.50","115","156","115","149","299","319","300"
"834",592314,"Foltynewicz, Mike","0",,"0.294","0.294","0.275","0.588","0.372","0.356","0.285","90","306","92.1","19.2","2193","89.0","88.60","70","577","257","-0.4","6.15","114","155","121","147","300","327","296"
"833",543294,"Hendricks, Kyle","0",,"0.309","0.262","0.314","0.571","0.372","0.352","0.295","93","301","89.2","13.0","2007","83.7","81.69","82","549","284","-2.0","5.81","113","157","114","150","295","322","296"
"832",621107,"Eflin, Zach","0",,"0.294","0.224","0.314","0.518","0.343","0.318","0.278","92","313","89.7","12.9","2061","89.2","90.01","97","568","264","0.8","6.73","110","152","115","148","297","323","293"
"831",656302,"Cease, Dylan","0",,"0.258","0.180","0.302","0.438","0.297","0.307","0.247","66","256","89.6","17.8","2554","89.5","88.53","140","557","274","-1.0","6.01","111","151","113","148","299","319","293"
"829",608566,"Márquez, Germán","0",,"0.264","0.139","0.287","0.402","0.287","0.310","0.283","78","296","89.1","4.5","2258","90.8","89.44","101","565","264","-1.4","5.32","111","151","115","148","299","331","304"
"826",608344,"Irvin, Cole","0",,"0.294","0.153","0.317","0.447","0.321","0.351","0.304","92","313","90.7","19.0","1875","88.1","87.81","101","595","231","-0.3","6.21","108","149","119","149","305","330","300"
"818",622491,"Castillo, Luis","0",,"0.297","0.183","0.329","0.480","0.333","0.311","0.277","81","273","89.2","7.3","2203","92.7","90.81","121","575","243","-1.9","5.51","113","153","117","148","292","318","292"
"816",543101,"DeSclafani, Anthony","0",,"0.233","0.130","0.247","0.362","0.256","0.302","0.264","70","301","90.2","12.1","2112","90.8","91.19","90","551","265","0.4","6.59","111","157","115","150","299","323","294"
"815",641154,"López, Pablo","0",,"0.263","0.176","0.313","0.439","0.299","0.306","0.270","69","262","89.2","9.8","2087","91.0","91.56","107","552","263","0.6","6.73","110","152","117","149","296","317","289"
"812",641745,"Keller, Brad","0",,"0.339","0.212","0.344","0.551","0.374","0.407","0.343","99","292","91.7","9.1","2323","91.3","90.66","76","555","257","-0.6","5.85","106","157","114","145","296","323","304"
"812",572070,"Richards, Garrett","0",,"0.337","0.199","0.349","0.536","0.368","0.361","0.327","98","291","92.9","11.4","2643","90.8","90.08","78","589","223","-0.7","5.96","111","155","116","148","296","329","297"
"810",593958,"Rodriguez, Eduardo","0",,"0.301","0.206","0.355","0.507","0.346","0.305","0.258","82","272","89.6","14.6","2115","89.8","89.29","107","552","258","-0.5","6.07","108","154","117","147","299","332","290"
"809",543475,"Lyles, Jordan","0",,"0.322","0.267","0.315","0.590","0.381","0.369","0.313","99","307","91.0","17.9","2424","87.6","88.13","82","583","226","0.5","6.72","113","155","121","147","298","325","295"
"807",669432,"Rogers, Trevor","0",,"0.248","0.118","0.324","0.366","0.262","0.277","0.248","65","262","88.3","11.8","2136","91.0","91.45","147","553","254","0.4","6.65","104","149","114","147","300","316","284"
"803",542881,"Anderson, Tyler","0",,"0.270","0.193","0.280","0.463","0.310","0.339","0.288","73","270","87.0","15.8","2314","86.5","85.98","125","583","220","-0.5","5.94","106","151","117","148","302","321","286"
"803",453286,"Scherzer, Max","0",,"0.229","0.205","0.259","0.434","0.280","0.287","0.233","57","249","89.3","20.2","2354","89.8","89.73","159","565","238","-0.1","6.27","110","154","119","149","300","323","296"
"800",573186,"Stroman, Marcus","0",,"0.259","0.121","0.275","0.380","0.274","0.351","0.311","77","297","90.3","4.8","2324","89.7","89.24","95","538","262","-0.5","5.91","112","153","112","149","299","328","299"
"787",666120,"Anderson, Ian","0",,"0.253","0.153","0.289","0.406","0.280","0.310","0.269","66","261","87.8","8.1","1895","90.0","90.72","117","540","247","0.7","6.85","108","151","128","146","300","318","292"
"787",605397,"Musgrove, Joe","0",,"0.217","0.184","0.225","0.402","0.263","0.312","0.268","53","244","89.0","12.8","2609","87.6","86.98","90","505","282","-0.6","5.88","116","155","133","144","296","320","310"
"786",425844,"Greinke, Zack","0",,"0.279","0.215","0.273","0.495","0.326","0.338","0.288","83","297","90.6","16.7","2190","84.2","83.57","71","514","272","-0.6","5.93","114","156","117","151","291","325","293"
"784",579328,"Kikuchi, Yusei","0",,"0.220","0.190","0.223","0.410","0.276","0.322","0.265","59","268","92.1","6.2","2314","90.9","91.67","95","510","274","0.8","6.65","110","153","115","148","301","325","290"
"782",477132,"Kershaw, Clayton","0",,"0.240","0.194","0.266","0.435","0.285","0.299","0.253","68","283","88.5","11.6","2572","87.0","86.79","126","544","238","-0.2","6.29","109","157","114","149","299","316","292"
"781",622608,"Senzatela, Antonio","0",,"0.310","0.161","0.332","0.472","0.331","0.316","0.292","98","316","91.0","6.0","2093","90.8","90.83","74","548","233","0.0","6.15","109","151","119","147","301","332","303"
"780",547943,"Ryu, Hyun Jin","0",,"0.292","0.228","0.298","0.521","0.345","0.354","0.302","78","267","91.5","10.5","1901","84.2","84.24","90","510","270","0.0","6.47","105","153","117","149","299","314","286"
"768",592836,"Walker, Taijuan","0",,"0.202","0.093","0.242","0.295","0.214","0.275","0.244","52","258","89.5","11.6","2127","90.7","89.82","99","485","283","-0.9","6.00","113","154","112","149","298","329","299"
"765",458681,"Lynn, Lance","0",,"0.219","0.154","0.245","0.372","0.257","0.262","0.215","54","247","90.2","20.0","2414","91.7","91.99","129","553","212","0.3","6.36","111","152","114","150","301","321","294"
"765",607074,"Rodón, Carlos","0",,"0.225","0.128","0.288","0.352","0.244","0.246","0.218","51","227","91.1","17.9","2244","92.4","92.12","144","547","218","-0.3","6.16","108","150","114","148","299","320","294"
"764",605347,"López, Jorge","0",,"0.340","0.220","0.379","0.560","0.387","0.374","0.328","88","259","93.2","7.3","2018","90.9","91.02","73","475","289","0.1","6.36","109","153","117","149","303","322","295"
"763",663903,"Singer, Brady","0",,"0.302","0.153","0.337","0.456","0.323","0.293","0.260","75","248","90.0","7.3","2306","90.8","91.25","73","472","291","0.4","6.54","107","159","115","147","298","323","303"
"763",656756,"Montgomery, Jordan","0",,"0.278","0.188","0.278","0.467","0.311","0.340","0.287","71","255","89.8","14.4","2121","86.8","87.22","103","535","228","0.4","6.52","107","153","118","148","300","326","288"
"756",642547,"Peralta, Freddy","0",,"0.134","0.181","0.143","0.315","0.195","0.216","0.169","31","232","88.0","22.9","2295","88.3","82.57","139","508","248","-5.7","7.15","110","156","120","148","298","322","296"
"746",663554,"Mize, Casey","0",,"0.254","0.212","0.252","0.466","0.306","0.352","0.287","67","264","90.3","8.4","2064","90.1","90.85","82","490","256","0.8","6.80","108","155","116","149","298","328","303"
"745",663978,"Paddack, Chris","0",,"0.321","0.232","0.360","0.553","0.372","0.355","0.300","79","246","91.2","10.2","2100","91.1","91.58","117","509","236","0.5","6.76","116","154","129","146","297","322","310"
"741",448179,"Hill, Rich","0",,"0.236","0.216","0.245","0.452","0.288","0.319","0.269","59","250","90.1","15.3","2471","81.5","81.07","87","461","280","-0.4","6.31","102","155","116","148","304","323","293"
"740",518774,"Harvey, Matt","0",,"0.342","0.229","0.364","0.571","0.390","0.379","0.322","91","266","91.2","13.1","2149","90.5","89.74","74","493","247","-0.8","6.03","109","152","117","149","299","321","296"
"734",623167,"Flexen, Chris","0",,"0.301","0.185","0.310","0.486","0.333","0.341","0.289","83","276","91.8","13.7","2143","88.4","87.90","75","538","196","-0.5","5.97","110","155","113","148","292","319","298"
"731",642232,"Yarbrough, Ryan","0",,"0.303","0.258","0.305","0.561","0.365","0.330","0.286","74","244","85.7","17.9","2106","80.8","80.64","87","488","243","-0.2","6.62","104","154","115","148","301","322","290"
"725",592791,"Taillon, Jameson","0",,"0.292","0.246","0.304","0.538","0.348","0.322","0.269","70","240","90.1","22.2","2473","90.0","90.62","100","514","211","0.6","6.68","111","155","117","149","298","328","288"
"722",592346,"González, Chi Chi","0",,"0.347","0.238","0.342","0.585","0.394","0.410","0.349","92","265","91.3","11.2","2350","89.0","88.41","61","511","211","-0.6","5.87","111","152","119","147","299","332","303"
"719",592351,"Gray, Jon","0",,"0.249","0.191","0.268","0.440","0.295","0.283","0.247","60","241","88.6","7.4","2197","90.3","90.50","92","471","248","0.2","6.33","112","152","116","149","297","329","303"
